roundNo	questionNo	questionText	answerText	imageUrl
Round 4 Player 1	Question 2	"Yet Zeus, the all-seeing, grants to Athene’s prayer that *the wooden wall only shall not fall*." This line in a prophecy led Themistocles to propose a strategy in a narrow strait, thereby neutralising an invading force's superior numbers and using his more maneuverable triremes to resounding success in **which naval battle** from 480 BC? A 2014 movie sequel is also partly based on events from this battle.	Battle of **Salamis**; the 2014 movie is 300: Rise of an Empire	
Round 4 Player 2	Question 1	The characteristic black colour of this tree's wood has led to it being traditionally used in the production of the black keys in a piano and black pieces in chess. **Identify this dense black/brown hardwood**, that was known in Egyptian as "hbnj".	**Ebony**	https://i.imgur.com/JOG3xLs.png
Round 4 Player 2	Question 2	The Fiddler's Green is a sentient part of the Dreaming, filled with everlasting music, that all travelers seek. The human personification of the Fiddler's Green, a portly man named Gilbert with a penchant for paradoxes, is a tribute to **which early 20th century English writer**? (Provide 35 seconds on direct)	GK (Gilbert Keith) **Chesterton** <br> <img src='https://i.imgur.com/tVvVanj.png' height='300px'>	https://i.imgur.com/zm1KDfs.png
Round 4 Player 3	Question 1	**Which ceremonial capital of the Achaemenid empire** was conferred UNESCO World Heritage Site status in 1979? It also served as the title of an autobiographical series that catapulted an Iranian-French author to the limelight two decades later.	**Persepolis**	
Round 4 Player 3	Question 2	**What fitness program** was developed by South African bicycle racer Johnny Goldberg in the mid-1980s after he was struck by a car while training for a race at night? The program/brand is now used to refer to any type of indoor cycling fitness classes.	**Spinning** (Accept: **Spin**)	
Round 4 Player 4	Question 1	This is the logo of a Japanese beer brand which features an ancient hybrid Chinese mythical creature. The creature supposedly appeared to the pregnant mother of Confucius and also foreshadowed the great sage's death. **Identify the creature**, which shares its name with the brand.	**Kirin** or **Qilin** (company is Kirin Brewery Company) <br> <img src='https://i.imgur.com/wKeMDoo.jpg' height='300px'>	https://i.imgur.com/cN1Uc75.png
Round 4 Player 4	Question 2	Youth & Young Manhood, Mechanical Bull and When You See Yourself are all albums by **which American rock band** *whose carnal experience is presumably burning with passion*? The band is named for the founder's grandfather and not for the monarchy that ruled parts of the Iberian Peninsula between 910–1833.	**Kings of Leon**; the hint was for Sex on Fire, one of their most popular songs	
Round 5 Player 1	Question 1	Before embarking on his landmark Arctic expeditions in the 1900s, Robert Peary was an engineer on the surveys for a project in Central America. **Which project that remains unrealised till date?**	**Nicaragua Canal** (Accept: If they EXACTLY say **Grand Interoceanic Canal** or anything **Nicaragua + Canal**)	
Round 5 Player 1	Question 2	A part of the Tibetan kingdom in medieval times, local rulers and rulers from Bhutan have ruled the region. Declared by the British as off-limits in 1873, it was invaded by Chinese troops during the 1962 war who later withdrew. It is the location of the Gentse Gaden Rabgyel Lling monastery. **Which mountain pass**, that offers views of the Kangto and Gorichen Peaks, some of the highest in a North-East Indian state?	**Bomdila**	
Round 5 Player 2	Question 1	**What type of hat** with a narrow, downward-sloping brim was a popular choice at Coachella 2022 to beat the heat? Typically made of denim or canvas, its variants include the fisherman’s hat and the Irish country hat.	**Bucket** hat	https://i.imgur.com/gfORQcj.png
Round 5 Player 2	Question 2	**What battle** was fought between Britain's Royal Navy Grand Fleet and the Imperial German Navy's High Seas Fleet? It is named after a Northern European peninsula that gets its name from a tribe that used to inhabit the region and not from the way Denmark *protrudes* out of Germany.	Battle of **Jutland**; Accept: **Battle of Skagerrak**; Jutland is named for the Jutes.	https://i.imgur.com/cYNIroY.png
Round 5 Player 3	Question 1	Baskets is a series starring Zach Galifianakis as Chip Baskets, who fails from a renowned clowning college in *Paris*. **What is the letter 'A' in the title aptly stylised to represent**? 	**Eiffel Tower**  <br> <img src='https://i.imgur.com/L3mHdm3.jpg' height='300px'>	
Round 5 Player 3	Question 2	“A woman and her ex-husband investigate a series of teen deaths caused by a mysterious videotape. Their investigation takes an ugly turn when their own son becomes a victim.” This is the synopsis of a 1998 Japanese horror film. **Name the 2002 Hollywood remake of this film.**	**The Ring**	
Round 5 Player 4	Question 1	While the genus Salix has around 400 species of deciduous trees, the species *Salix alba aaerulea* is unique because it doesn't splinter easily. This makes it the ideal choice for a particular sporting equipment and is harvested across England for this purpose. **Name this species of hardwood**, that is also the nickname for the sporting equipment.	**Willow**; Cricket bats are also called "willows".	https://i.imgur.com/0qTB2ZR.png
Round 5 Player 4	Question 2	The towering gopurams (temple towers) of the temples of southern India such as the Brihadeeswara Temple at Thanjavur found scientific use as convenient locations to hoist a theodolite for **which daunting project** conceived by William Lambton of the East India Company in 1802?	The Great Trigonometric **Survey of India** (Accept: **Survey of India** or any mention of the terms **Great Arc/Meridian/Longitude/Survey**);	
Round 6 Player 1	Question 1	Rated R, Lullabies to Paralyze, Villains, and Era Vulgaris are albums by **which American rock band**? Dave Grohl accepted an invitation to join them to record their 2002 album Songs for the Deaf.	**Queens of the Stone Age**	
Round 6 Player 1	Question 2	**What term**, now a synonym for jousting, came from the barrier used to separate the two jousting knights? The term used for this barrier, which would stabilise the horses as the rider shifted their weight to strike his opponent, is best known to us via a *delusional phrase* from literature.	**Tilt/Tilting**, the phrase referenced is **Tilting at windmills** from Don Quixote.	
Round 6 Player 2	Question 1	Xenon’s high solubility in lipids combined with a fast elimination rate makes it more potent than the usual nitrous oxide for **what purpose in medicine**? Other substances used widely for this purpose are isoflurane and desflurane.	**Anaesthetic**  (Accept: **Sedative** and other reasonable alternatives)	
Round 6 Player 2	Question 2	In 1989, German explorer Arved Fuchs became the first to reach the South Pole with neither animal nor motorised help, using skis and a parasail. This made him the first person to reach both poles by foot within one year. **Which Italian adventurer and explorer was his companion during this expedition?**	Reinhold **Messner**, the first man to climb all 14 peaks over 8,000 metres	
Round 6 Player 3	Question 1	The crowdsourced logo of Iran Air features a legendary Persian bird that was always in flight and never rested. The airline operates a ____ (4) Aviation Training Center, has owned the ____ (4) Hotel Group, and is domestically known by the bird's name. **Fill in the blank.**	**Homa** or **Huma**	https://i.imgur.com/sM83dv6.jpg
Round 6 Player 3	Question 2	**Which city**, the HQ of the Alibaba Group, will host the 19th Asian Games in 2022? The emblem of the games hints at four elements - a hand fan, a running track, the Qiantang River, and wireless connectivity.	**Hangzhou** (Do not accept Guangzhou)	https://i.imgur.com/WWjXkyC.png
Round 6 Player 4	Question 1	Described as "constantly varied functional movement performed at high intensity", **what fitness regimen** was conceived by Greg Glassman and Lauren Jenai in Santa Cruz during the mid-1990s? The classes are held at affiliated locations called as "boxes".	**CrossFit** (Do not accept HIIT/Circuit Training etc.)	
Round 6 Player 4	Question 2	“Chan Wing Yan, a policeman, successfully infiltrates a Triad while Wong Chi-Shing, a Triad member, becomes a mole in the police force. However, things change when both of them must seek each other out.” This is the synopsis of a 2002 Hong Kong film. **Name the 2006 Hollywood remake of this film.**	**The Departed**; The Hong Kong film is Infernal Affairs.	
Round 7 Player 1	Question 1	These panels from a Sandman comic show a dream encounter between 13th century romance writer Rustichello da Pisa and **which cellmate of his**? Rustichello wrote *a million* tall tales about the cellmate in an extremely popular travelogue of the times. (Provide 35 seconds on direct)	**Marco Polo**; The travelogue was called Book of the Marvels of the World or IL Milione.	https://i.imgur.com/u2KiVY7.png
Round 7 Player 1	Question 2	The sanctum santorum is the innermost sanctuary of Hindu and Jain temples where the idol of the primary deity lives. Accepting the deity as *the source of all life*, **which part of the human body** is this part of the temple supposed to metaphorically resemble? This is reflected in its Sanskrit name.	**Uterus** or **womb**; The Sanskrit word is garbhagriha, meaning womb chamber.	
Round 7 Player 2	Question 1	The albums Blunderbuss, Lazaretto, Boarding House Reach, and Fear of the Dawn forms the entire solo discography of **which artiste** better known to us as the lead vocalist and guitarist of a duo?	Jack **White**; the lead singer and guitarist of the duo The White Stripes - THEME OF THE QUAD : **Ace** of Base, **Kings** of Leon, **Queens** of the Stone Age, **Jack** White	
Round 7 Player 2	Question 2	**What common English word** comes from a diminutive of the term used for the small shield typically placed on a jouster's shoulder? A jouster *aims* their lance at this shield to score a point.	**Target** from Targ/Targe.	
Round 7 Player 3	Question 1	**What type of footwear** - with a thick sole that is usually in the range of 3 - 10 cm - was all the rage at Coachella 2022? They trace back to Ancient Greece where they were used in theatre to *raise the height* of important characters.	**Platform** heels/shoes/boots/sneakers	https://i.imgur.com/wdC16Ab.png?1
Round 7 Player 3	Question 2	In a Sandman issue titled Thermidor **which famous pamphleteer** and advocate of *common sense* is shown in jail in 1793/94? He was released after the diplomatic efforts of James Monroe. (Provide 35 seconds on direct)	Thomas **Paine**; who famously published the pamphlet Common Sense advocating US Independence. 	https://i.imgur.com/Q1raPk5.png
Round 7 Player 4	Question 1	**Which city** is home to a series of 8 structures called the Atamasthana - the places Buddha (according to legend) had visited during his three visits to the country? With places of veneration such as Ruwanwelisaya and Thuparamaya, the city was recognised as a World Heritage Site by UNESCO in 1982. 	**Anuradhapura**; in Sri Lanka.	https://i.imgur.com/RRXoUYg.png
Round 7 Player 4	Question 2	The first person to visit both the North and South Poles by surface means and the first to completely cross Antarctica on foot happens to be the relative of a pair of actor siblings, with one of them playing an antagonist in the Harry Potter films. **What is their shared surname?**	Ranulph **Fiennes** (Prompt on Ralph Fiennes/Joseph Fiennes)	
Round 8 Player 1	Question 1	A blend of the exercise regimen developed by German physical trainer Joseph _______ (7) and a form of mind and body practise from ancient India, **what 4-letter portmanteau** term is used to market this fitness program created by Chalene Johnson? It is a low-impact strength workout that enhances flexibility.	**PiYo** (Prompt: Pilates/Yoga)	
Round 8 Player 1	Question 2	Helium does not exhibit narcotic properties under high pressure. As a result, mixtures such as trimix, heliox and heliair are used widely in the gas cylinders for **what activity**? While heliox is a combination of helium and oxygen, trimix and heliair include nitrogen as well.	 **Diving** (Accept: **scuba diving** etc.)	
Round 8 Player 2	Question 1	**Which capital city** will host the 22nd Asian Games in 2034? The emblem used for the bidding process depicts the map of the country as an outline enclosing various sporting pictograms.	**Riyadh**; (Prompt: Saudi Arabia - ask for capital city)	https://i.imgur.com/E7HAnou.png
Round 8 Player 2	Question 2	Novo Nordisk is a Danish pharmaceutical company that features a stylised version of **which animal deity sacred to the ancient Egyptians**? Identified as the son of Hathor, this deity has been seen as a protector of the dead and is usually depicted with a solar disc between the horns.	**Apis** Bull (Accept: **Hapis** and **Hapi-Ankh**)	https://i.imgur.com/x1R3GJZ.jpg
Round 8 Player 3	Question 1	Since the 18th century, this mountain pass and the 89 sq. km. area around it has often changed hands due to repeated raids on it and has been an area of continual conflict to-date. **What area**, between a stream and a river and literally meaning *rocky path*, **that made news in 2017** is this?	**Doklam** (Accept: **Doka La Pass, Zhoglam or Donglang**)	
Round 8 Player 3	Question 2	 **Name this species of hardwood**, a possible corruption of 'm'oganwo', an African word for these trees. Principally reserved for shipbuilding during colonisation of the Caribbean, it appears on the Belizean national flag.	**Mahogany**	https://i.imgur.com/eaiASTK.png
Round 8 Player 4	Question 1	Ozark is a series centred around the Byrde family and their plans to launder money for a Mexican drug cartel. An inverted version of **what symbol is the letter 'Z' in the title stylised to represent?**	The **Dollar Sign**  <br> <img src='https://i.imgur.com/UJd6xUI.jpg' height='300px'>	
Round 8 Player 4	Question 2	The Romance of the Three Kingdoms adds numerous fictional elements to the real life Battle of Chibi, such as the use of magic by Zhuge Liang to propel fireships. The effect of the fireships on the appearance of steep geographical structures in the vicinity led to **what two-word, colourful name for the battle**? It is also the title of a two-part John Woo film about the battle.	Battle of **Red Cliffs**; Accept **Red Cliff** OR **Red Cliffs** <br> <img src='https://i.imgur.com/hrcJuon.jpg' height='300px'>	https://i.imgur.com/fa2vLIw.png
Spare	Question 1	This national park, which includes the three large islands of ______ (6), Padar and Rinca and 26 other smaller islands, was created in 1980 to protect an endangered reptilian species of the Varanidae family. It was declared a UNESCO World Heritage Site in 1991. **Fill in the blank**.	**Komodo** National Park	
Spare	Question 2	"Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend." This is a synopsis of the 1962 Bollywood film Sangam. **Which much-panned 2001 Hollywood movie** about a historical incident from 1941, was heavily borrowed from it?	**Pearl Harbour**	
Spare	Question 3	Which location in London was named as a tribute to an 1805 naval battle that happened off the coast of a cape in the Spanish province of Cadiz? The battle marked the death of one of the leading admirals of the Royal Navy during the French Revolutionary and Napoleonic Wars.	**Trafalgar** Square	
Spare				
