roundNo	questionNo	questionText	answerText	imageUrl
Round 6 Player 2	Question 2	In this tactic against takeovers, the target firm issues a charter that prevents individuals with more than 10% ownership from transferring their securities to voting stock. **What tactic**, that gets its name from an entity designed to catch larger crustaceans easily but allows smaller ones to escape? The Krusty Krab from SpongeBob SquarePants is modeled on this entity.	**Lobster Trap** Defense; Accept variants of trap as long as **Lobster** is mentioned <br> <img src='https://i.imgur.com/XVwmBwe.png' height='300px'>	https://i.imgur.com/OcA7Jve.png
Round 6 Player 3	Question 1	Remembered now mostly as the muse for Picasso’s Weeping Woman, **which 20th century painter, photographer and political activist** also helped in documenting the creation of Picasso's Guernica in a series of photographs?	**Dora Maar** (Accept: Henriette Theodora **Markovitch**)	https://i.imgur.com/bvAO179.png
Round 6 Player 3	Question 2	Shortly after leaving the Galápagos in 1835, Darwin noticed that a pair of birds he had collected from different islands were not all alike – his first hint that species might evolve over time. **What group of passerine birds** from the family *Mimidae* were these? 	**Mockingbirds**; Darwin observed variations in finches only a decade later and the term "Darwin's finches" was first applied by Percy Lowe in 1936.	https://i.imgur.com/wYpgVOL.png
Round 6 Player 4	Question 1	In **which religion** is fasting observed for 19 days from sunrise to sunset during the month of “Ala”?  The fasting is followed between March 1 or 2 and March 19 or 20 each year, and its rules are laid out in the holy text Kitáb-i-Aqda. 	**Baháʼí** faith	
Round 6 Player 4	Question 2	**Which UAE opener** was picked in the 2017 IPL auction by Gujarat Lions for 10 lakh rupees but didn't get a chance to play a game? He is presently the vice-captain for his national side.	Chirag **Suri**	https://i.imgur.com/3fgaw4R.png
Round 7 Player 1	Question 1	The village of Nejapa, El Salvador, annually celebrates the festival of Los Bolas de Fuego that commemorates a phenomenon that took place in 1658. **What phenomenon**, attracting a category of thrill-seeking hunters who also head to Hawaii, Iceland, and Indonesia in its pursuit? 	**Volcanic Eruption OR Volcano** (Prompt: Lava etc.); Los Bolas De Fuego means ‘balls of fire’. Tourists who seek volcanic activity call themselves lava hunters, or lava chasers.	
Round 7 Player 1	Question 2	_____ (5) is a collective noun for a group of fairies. This ‘attractive’ term is also something a fairy might be able to perform. **What term?**	**Charm**	
Round 7 Player 2	Question 1	The makers of this Telugu film didn't have an idea for a title, so they referred to the project using the initials of the two lead stars and its director. They used ___ (3) as hashtags and the response of the audience was overwhelming. **Which film** (3) thus got its title?	**RRR**; The initials of Ram Charan, N.T. Rama Rao Jr, and Rajamouli.	
Round 7 Player 2	Question 2	This screen grab from Ariana Grande's Thank U, Next references "_____ __ __ !"(5,2,2), a film that has been dubbed the "Citizen Kane of Cheerleader Movies". **Which film** (5,2,2), about a high school cheer team *ready for the challenge* of nationals, is this? 	**Bring It On** <br> <img src='https://i.imgur.com/ZoM4Dkr.png' height='300px'>	https://i.imgur.com/sZrhOeH.png
Round 7 Player 3	Question 1	With a bulbous body that narrows slightly before flaring out to accommodate the beer's head, this popular beer glass design used by multiple Belgian beers is named after something that must have cost a lot more money than a beer during the 17th century. **What**?	**Tulip**; <br> <img src='https://i.imgur.com/R1tfv1W.jpg' height='300px'>	https://i.imgur.com/gXEB5ci.jpg
Round 7 Player 3	Question 2	Debuting in 2021 for the Royal Challengers Bangalore against Chennai Super Kings, **which Singaporean middle-order batsman** became the first from his nation to play in the IPL? Currently part of the Mumbai Indians team, he has also been a part of the Multan Sultans (PSL) and the Saint Lucia Kings (CPL).	Tim **David**	https://i.imgur.com/ryNDyP2.png
Round 7 Player 4	Question 1	Between 1917 and 1937, American photographer Alfred Stieglitz made over 300 portraits of his muse, later his wife. **Which modernist American painter**, known for her paintings of non-human subjects, was Stieglitz’s muse?	Georgia **O’Keeffe**	 https://i.imgur.com/QnNgp64.png
Round 7 Player 4	Question 2	In the run-up to the 1988 US Presidential Elections, pictures of leading Democratic candidate Gary Hart emerged showing him engaged in an extra-marital affair with Donna Rice aboard a yacht going by **what name**? The yacht's name, a two-word term, also *ap(e)tly* described Hart's *mischievous* behaviour.	**Monkey Business**	
Round 8 Player 1	Question 1	This tactic against hostile takeovers involves companies liquidating or destroying valuable assets to make themselves unattractive to hostile bidders. **What is this tactic called**, sharing its name with a military strategy where defending forces would destroy anything that could be useful to the enemy?	**Scorched Earth** Defense	
Round 8 Player 1	Question 2	**Which religion** advocates the “bigu” – a fasting practice of avoiding grains associated with achieving "xian", meaning transcendence or immortality? This has been variously interpreted from avoiding food grains, cereals, the Five Grains, wugu, or staple food, to not eating anything at all. 	**Taoism** OR **Daoism**	
Round 8 Player 2	Question 1	Paul George is one of the top players of the NBA today. His nickname may hint at the fact that his play may be *inappropriate for children that aren't teenagers yet*. **What nickname**, that is familiar to all from an entertainment context?	**PG-13**	https://i.imgur.com/yOb5Xtg.jpg
Round 8 Player 2	Question 2	From c. 2150 BC, a series of exceptionally low annual Nile floods (caused by the 4.2-kiloyear event) led to the collapse of the Sixth Dynasty marking the end of the ___ _______ (3,7) period in ancient Egyptian history. **Which period** (3,7), that saw the construction of the pyramids, and was succeeded by the First Intermediate Period?	**Old Kingdom**	
Round 8 Player 3	Question 1	The nine-minute suite for the Joker ("Why So Serious") in Christopher Nolan’s The Dark Knight was based around two notes played by electric cello, solo violin, guitars and a string section. To depict anarchy musically, Hans Zimmer took inspiration from a band from his native Germany. **Which band**, founded by Ralf Hütter and Florian Schneider and widely considered one of the pioneers of electronic music?	**Kraftwerk**	
Round 8 Player 3	Question 2	Due to the abundance of plankton, 3 of the 6 flamingo species of the world are found on this Bolivian salt lake named for its distinctive hues. **Which lake**, whose name can be arrived at by changing the last letter in the name of the American state with the highest mean elevation?	Lake **Colorada** (Prompt: Colorado)	https://i.imgur.com/FYHiXkY.jpg
Round 8 Player 4	Question 1	Mexico: For the prescription-less availability of a drug called pentobarbital; Switzerland: Largely due to efforts of an organisation called Dignitas; Oregon: Owing to the alliteratively named _____ (5) with Dignity Act. **What specific reason**, that is legal in the Netherlands, inspired tourism to these locations?	**Suicide/ Euthanasia/ Assisted Suicide ** Tourism (Accept: **Kill Oneself**; Prompt: Death OR Dying)	
Round 8 Player 4	Question 2	______ (6) is a collective noun for a group of motorcyclists. **What is this** mechanism that one might be able to spot on a motorcycle? We hope you can score on this *crucial* question.	**Clutch**	
Spare	Question 1	______ (6) is a collective noun for a group of butchers. It is apt that a commander-in-chief of the Luftwaffe who butchered people had this as his surname. What term?	**Goring** (The Nazi referenced is Hermann Goring)	
Spare	Question 2	In this extreme takeover defense tactic, the target firm takes steps that might threaten the firm’s existence to save itself from a hostile takeover. **What is this tactic called**, named after the 1978 massacre in Guyana where Jim _____ (5) led the people of his cult to kill themselves? It is also called the ‘suicide pill’ defense.	**Jonestown** defense	
Spare	Question 3	 **What is the force**, attraction or repulsion, of particles or objects caused due to its electric charge? It is named for a French physicist who in 1785 published the results of an experimental investigation into the correct quantitative description of this force. It is also known as electrostatic force.	**Coulomb** force	
Spare	Question 4	Followers of **which religion** adhere to the “ṣauma” – a form of spiritual fasting combined with light physical fasting, such as abstaining from meat? The eight precepts associated with the fast are laid out in the Ginza Rabba. The followers of this religion are sometimes referred to as "Christians of Saint John".	**Mandaeism** OR **Sabianism**	
